"source","relative","target","action","category"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_remaining_r_plan_packages_round2.R","scripts_and_installers\install_remaining_r_plan_packages_round2.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_remaining_r_plan_packages_round2.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\install_requested_r_packages.R","scripts_and_installers\install_requested_r_packages.R","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_r_package_and_config_scripts\install_requested_r_packages.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\run_focused_LR_SPP1_ITGB1_CD44_figures.R","scripts_and_installers\run_focused_LR_SPP1_ITGB1_CD44_figures.R","D:\OC_spatiogenomics\infercnv\03_spp1_cd44_itgb1_hypothesis_validation\LR_SPP1_ITGB1_CD44_figures\run_focused_LR_SPP1_ITGB1_CD44_figures.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\run_new_package_focused_validation_checks.R","scripts_and_installers\run_new_package_focused_validation_checks.R","D:\OC_spatiogenomics\infercnv\03_spp1_cd44_itgb1_hypothesis_validation\SPP1_ITGB1_CD44_hypothesis_validation_complete\scripts\run_new_package_focused_validation_checks.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\run_sample_type_spp1_tam_itgb1_cd44_scores.R","scripts_and_installers\run_sample_type_spp1_tam_itgb1_cd44_scores.R","D:\OC_spatiogenomics\infercnv\04_sample_type_scores\sample_type_SPP1_TAM_ITGB1_CD44_scores\scripts\run_sample_type_spp1_tam_itgb1_cd44_scores.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\run_spp1_hypothesis_complete_bulk_validation.R","scripts_and_installers\run_spp1_hypothesis_complete_bulk_validation.R","D:\OC_spatiogenomics\infercnv\03_spp1_cd44_itgb1_hypothesis_validation\SPP1_ITGB1_CD44_hypothesis_validation_complete\scripts\run_spp1_hypothesis_complete_bulk_validation.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\scripts_and_installers\run_spp1_itgb1_cd44_hypothesis_validation.R","scripts_and_installers\run_spp1_itgb1_cd44_hypothesis_validation.R","D:\OC_spatiogenomics\infercnv\03_spp1_cd44_itgb1_hypothesis_validation\SPP1_ITGB1_CD44_hypothesis_validation\scripts\run_spp1_itgb1_cd44_hypothesis_validation.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\build_seurat_visium_dirs.py","work_without_rpkgs\build_seurat_visium_dirs.py","D:\OC_spatiogenomics\infercnv\05_sample_type_lr_niche_external_validation\codex_2026-07-05_external_data_preparation\build_seurat_visium_dirs.py","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\CNV_expression_joint_analysis_integrated_oc.txt","work_without_rpkgs\CNV_expression_joint_analysis_integrated_oc.txt","D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\reports\CNV_expression_joint_analysis_integrated_oc.txt","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\continue_cnv_expression_joint_analysis.R","work_without_rpkgs\continue_cnv_expression_joint_analysis.R","D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\scripts\continue_cnv_expression_joint_analysis.R; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\scripts\continue_cnv_expression_joint_analysis.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\extract_cnv_expression_docx_text.py","work_without_rpkgs\extract_cnv_expression_docx_text.py","D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\scripts\extract_cnv_expression_docx_text.py; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\scripts\extract_cnv_expression_docx_text.py","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\extract_docx_text.py","work_without_rpkgs\extract_docx_text.py","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\extract_docx_text.py","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\extract_seurat_v5_minimal.R","work_without_rpkgs\extract_seurat_v5_minimal.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\extract_seurat_v5_minimal.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\finalize_infercnv_subclone_and_tcell_metadata.R","work_without_rpkgs\finalize_infercnv_subclone_and_tcell_metadata.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_subclone_generation\finalize_infercnv_subclone_and_tcell_metadata.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\geo_spatial_download_manifest.py","work_without_rpkgs\geo_spatial_download_manifest.py","D:\OC_spatiogenomics\infercnv\05_sample_type_lr_niche_external_validation\codex_2026-07-05_external_data_preparation\geo_spatial_download_manifest.py","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\infercnv_integrated_oc_research_plan.txt","work_without_rpkgs\infercnv_integrated_oc_research_plan.txt","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\reports\infercnv_integrated_oc_research_plan.txt","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\inspect_B_object_minimal.R","work_without_rpkgs\inspect_B_object_minimal.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_B_object_minimal.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\inspect_final_infercnv_obj.R","work_without_rpkgs\inspect_final_infercnv_obj.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_final_infercnv_obj.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\inspect_infercnv_cellchat_inputs.R","work_without_rpkgs\inspect_infercnv_cellchat_inputs.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_infercnv_cellchat_inputs.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\inspect_infercnv_object_minimal.R","work_without_rpkgs\inspect_infercnv_object_minimal.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_infercnv_object_minimal.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\inspect_integrated_oc_Bcells.R","work_without_rpkgs\inspect_integrated_oc_Bcells.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_integrated_oc_Bcells.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\inspect_integrated_oc_reductions.R","work_without_rpkgs\inspect_integrated_oc_reductions.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_integrated_oc_reductions.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\inspect_oc_objects_minimal.R","work_without_rpkgs\inspect_oc_objects_minimal.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_oc_objects_minimal.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\inspect_seurat_v5_layers.R","work_without_rpkgs\inspect_seurat_v5_layers.R","D:\OC_spatiogenomics\infercnv\00_raw_objects_and_infercnv\codex_2026-07-05_object_inspection_scripts\inspect_seurat_v5_layers.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\knn_neighbor_enrichment_integrated_oc.py","work_without_rpkgs\knn_neighbor_enrichment_integrated_oc.py","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\knn_neighbor_enrichment_integrated_oc.py","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\make_infercnv_subclones.R","work_without_rpkgs\make_infercnv_subclones.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_subclone_generation\make_infercnv_subclones.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\make_tme_only_knn_outputs.py","work_without_rpkgs\make_tme_only_knn_outputs.py","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\make_tme_only_knn_outputs.py","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\map_subtypes_and_run_lr_interactions.R","work_without_rpkgs\map_subtypes_and_run_lr_interactions.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\map_subtypes_and_run_lr_interactions.R; D:\OC_spatiogenomics\infercnv\integrated_oc_plan_analysis\source_outputs\map_subtypes_and_run_lr_interactions.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\omnipath_ligrecextra.tsv","work_without_rpkgs\omnipath_ligrecextra.tsv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\resources\omnipath_ligrecextra.tsv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\plan_analysis_prepare_integrated_oc.R","work_without_rpkgs\plan_analysis_prepare_integrated_oc.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\plan_analysis_prepare_integrated_oc.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\run_cnv_expression_joint_analysis.R","work_without_rpkgs\run_cnv_expression_joint_analysis.R","D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\scripts\run_cnv_expression_joint_analysis.R; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\scripts\run_cnv_expression_joint_analysis.R","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\summarize_distinct_lr.R","work_without_rpkgs\summarize_distinct_lr.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_lr_and_cellchat\work_summarize_distinct_lr.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\test_subclone_clustering_methods.R","work_without_rpkgs\test_subclone_clustering_methods.R","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts_early_subclone_generation\test_subclone_clustering_methods.R","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\write_cnv_expression_joint_report.py","work_without_rpkgs\write_cnv_expression_joint_report.py","D:\OC_spatiogenomics\infercnv\02_cnv_expression_state_analysis\CNV_expression_joint_analysis_integrated_oc\scripts\write_cnv_expression_joint_report.py; D:\OC_spatiogenomics\infercnv\CNV_expression_joint_analysis_integrated_oc\scripts\write_cnv_expression_joint_report.py","kept_in_source_archive_duplicate_exists_in_main","duplicate"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\work_without_rpkgs\write_plan_report.py","work_without_rpkgs\write_plan_report.py","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\scripts\write_plan_report.py","kept_in_source_archive_duplicate_exists_in_main","duplicate"
